"","id","sexe","any_naix","any_des","edat","mun_naix","comarca_naix","prov_naix","mun_hab","comarca_hab","prov_hab","comarca_des","prov_des","voluntari","exercit","afusellat","localitzat"
"1",1,"Home",1908,1938,30,"PUIGCERDÀ","CERDANYA","GIRONA","PUIGCERDÀ","CERDANYA","GIRONA","TERRA ALTA","TARRAGONA","false","REPUBLICÀ","false","false"
"2",2,"Home",1915,1937,22,"BARCELONA","BARCELONÈS","BARCELONA","BARCELONA","BARCELONÈS","BARCELONA","Z_ESPANYA","ES DESCONEIX","true","REPUBLICÀ","false","false"
"3",3,"Home",1909,1938,29,"CUEVAS DE VERA","Z_ESPANYA","ALMERIA","BARCELONA","BARCELONÈS","BARCELONA","ES DESCONEIX","ES DESCONEIX","false","REPUBLICÀ","false","false"
"4",4,"Home",NA,1938,NA,"UNIÓN","Z_ESPANYA","MÚRCIA","BARCELONA","BARCELONÈS","BARCELONA","TERRA ALTA","TARRAGONA","false","REPUBLICÀ","false","false"
"5",5,"Home",1903,1939,36,"PALANQUES","Z_ESPANYA","CASTELLÓ","BARCELONA","BARCELONÈS","BARCELONA","NOGUERA","LLEIDA","false","REPUBLICÀ","false","false"
"6",6,"Home",1920,1938,18,"BARCELONA","BARCELONÈS","BARCELONA","BARCELONA","BARCELONÈS","BARCELONA","TERRA ALTA","TARRAGONA","false","REPUBLICÀ","false","false"
"7",7,"Home",NA,1938,NA,"SABADELL","VALLÈS OCCIDENTAL","BARCELONA","SABADELL","VALLÈS OCCIDENTAL","BARCELONA","Z_ESPANYA","TEROL","false","REBEL","false","false"
"8",8,"Home",NA,1938,NA,"BARCELONA","BARCELONÈS","BARCELONA","BARCELONA","BARCELONÈS","BARCELONA","TERRA ALTA","TARRAGONA","false","REPUBLICÀ","false","false"
"9",9,"Home",NA,1938,NA,"CASERES","TERRA ALTA","TARRAGONA","CASERES","TERRA ALTA","TARRAGONA","TERRA ALTA","TARRAGONA","false","REPUBLICÀ","false","false"
"10",10,"Home",1907,1938,31,"OLUGES","SEGARRA","LLEIDA","SANT PAU DE LA GUÀRDIA","ANOIA","BARCELONA","TERRA ALTA","TARRAGONA","false","REPUBLICÀ","false","false"
